gene,weight
ENSG00000213455.3,-0.017056327480012557
ENSG00000287609.1,0.016312405833080027
ENSG00000253954.3,0.015003392657582828
ENSG00000197582.5,-0.014865220591350837
ENSG00000224040.1,0.014659407494267198
ENSG00000211697.4,0.012362333068587373
ENSG00000205420.11,0.012131425073927869
ENSG00000263563.6,0.012023663881548562
ENSG00000273716.2,0.011860002480450202
ENSG00000228668.1,0.01178381023897427
ENSG00000281383.1,0.011372848519619495
ENSG00000186847.6,0.011365670791742876
ENSG00000169474.4,0.01122096670800843
ENSG00000186076.5,0.010994438436900249
ENSG00000207494.1,-0.010841968607446914
ENSG00000249119.1,-0.01083699632433095
ENSG00000169469.9,0.010806073825808884
ENSG00000238317.2,0.010615776985201268
ENSG00000199676.1,-0.010557001695765254
ENSG00000186081.12,0.010504582350130926
ENSG00000227034.1,-0.0104084784524626
ENSG00000211825.1,0.01038540477168695
ENSG00000236170.1,0.010361563985262633
ENSG00000286508.1,-0.010265687509338539
ENSG00000273012.1,-0.010140090103084675
ENSG00000238755.3,0.00975475852293426
ENSG00000228665.2,-0.009695474559249335
ENSG00000143556.9,0.009645749677724995
ENSG00000256673.1,0.009641890673044861
ENSG00000232543.2,0.009566168615410086
ENSG00000211698.2,0.009461075314921349
ENSG00000236773.1,0.009438375201528014
ENSG00000270972.1,0.00940970530564432
ENSG00000236824.2,-0.009373370931758666
ENSG00000263800.1,0.00927330290399582
ENSG00000222057.1,-0.0092491325420937
ENSG00000235957.1,-0.009201171920493969
ENSG00000252680.1,0.009181442253746144
ENSG00000278388.1,0.009062386803943808
ENSG00000134184.13,-0.009023778649259871
ENSG00000223318.1,0.008964125641797636
ENSG00000253043.1,0.008963179577724417
ENSG00000224237.1,-0.00895972123647019
ENSG00000211765.1,0.00889441396258463
ENSG00000255815.3,0.008881502218116061
ENSG00000222788.1,0.008863640857067293
ENSG00000207622.1,0.00880647465781182
ENSG00000239559.2,0.008751896538445585
ENSG00000201900.1,-0.008709225029123037
ENSG00000249885.1,-0.00861712884930775
ENSG00000264757.1,0.008611961013089751
ENSG00000270378.1,0.008559724275595643
ENSG00000206228.4,0.008534620056058458
ENSG00000238072.1,-0.00851868172469114
ENSG00000163216.7,0.008503601895180912
ENSG00000183691.6,-0.008439834976671287
